GO:0000001	mitochondrion inheritance	线粒体遗传
GO:0000006	high-affinity zinc transmembrane transporter activity	高亲和力锌跨膜转运体活性
GO:0000007	low-affinity zinc ion transmembrane transporter activity	低亲和力锌离子跨膜转运体活性
GO:0000009	alpha-1,6-mannosyltransferase activity	α-1,6-甘露糖基转移酶活性
GO:0000010	heptaprenyl diphosphate synthase activity	七异戊烯基二磷酸合酶活性
GO:0000011	vacuole inheritance	液泡遗传
GO:0000012	single strand break repair	单链断裂修复
GO:0000014	single-stranded DNA endonuclease activity	单链DNA内切核酸酶活性
GO:0000015	phosphopyruvate hydratase complex	磷酸丙酮酸水合酶复合体
GO:0000016	lactase activity	乳糖酶活性
GO:0000017	alpha-glucoside transport	α-葡糖苷转运
GO:0000018	regulation of DNA recombination	DNA重组的调控
GO:0000019	regulation of mitotic recombination	有丝分裂重组的调控
GO:0000022	mitotic spindle elongation	有丝分裂纺锤体延伸
GO:0000023	maltose metabolic process	麦芽糖代谢过程
GO:0000024	maltose biosynthetic process	麦芽糖生物合成过程
GO:0000025	maltose catabolic process	麦芽糖分解代谢过程
GO:0000026	alpha-1,2-mannosyltransferase activity	α-1,2-甘露糖基转移酶活性
GO:0000027	ribosomal large subunit assembly	核糖体大亚基组装
GO:0000028	ribosomal small subunit assembly	核糖体小亚基组装
GO:0000030	mannosyltransferase activity	甘露糖基转移酶活性
GO:0000031	mannosylphosphate transferase activity	甘露糖磷酸转移酶活性
GO:0000032	cell wall mannoprotein biosynthetic process	细胞壁甘露糖蛋白生物合成过程
GO:0000033	alpha-1,3-mannosyltransferase activity	α-1,3-甘露糖基转移酶活性
GO:0000034	adenine deaminase activity	腺嘌呤脱氨酶活性
GO:0000035	acyl binding	酰基结合
GO:0000036	acyl carrier activity	酰基载体活性
GO:0000038	very long-chain fatty acid metabolic process	极长链脂肪酸代谢过程
GO:0000041	transition metal ion transport	过渡金属离子转运
GO:0000045	autophagosome assembly	自噬体组装
GO:0000048	peptidyltransferase activity	肽基转移酶活性
GO:0000049	tRNA binding	tRNA结合
GO:0000050	urea cycle	尿素循环
GO:0000054	ribosomal subunit export from nucleus	核糖体亚基从细胞核输出
GO:0000055	ribosomal large subunit export from nucleus	核糖体大亚基从细胞核输出
GO:0000056	ribosomal small subunit export from nucleus	核糖体小亚基从细胞核输出
GO:0000062	fatty-acyl-CoA binding	脂肪酰CoA结合
GO:0000064	L-ornithine transmembrane transporter activity	L-鸟氨酸跨膜转运体活性
GO:0000070	mitotic sister chromatid segregation	有丝分裂姐妹染色单体分离
GO:0000073	initial mitotic spindle pole body separation	有丝分裂纺锤体极体初始分离
GO:0000075	cell cycle checkpoint signaling	细胞周期检查点信号传导
GO:0000076	DNA replication checkpoint signaling	DNA复制检查点信号传导
GO:0000077	DNA damage checkpoint signaling	DNA损伤检查点信号传导
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	周期蛋白依赖性蛋白丝氨酸/苏氨酸激酶活性的调控
GO:0000080	mitotic G1 phase	有丝分裂G1期
GO:0000082	G1/S transition of mitotic cell cycle	有丝分裂细胞周期的G1/S转换
GO:0000084	mitotic S phase	有丝分裂S期
GO:0000085	mitotic G2 phase	有丝分裂G2期
GO:0000086	G2/M transition of mitotic cell cycle	有丝分裂细胞周期的G2/M转换
GO:0000087	mitotic M phase	有丝分裂M期
GO:0000088	mitotic prophase	有丝分裂前期
GO:0000089	mitotic metaphase	有丝分裂中期
GO:0000090	mitotic anaphase	有丝分裂后期
GO:0000091	mitotic anaphase A	有丝分裂后期A
GO:0000092	mitotic anaphase B	有丝分裂后期B
GO:0000093	mitotic telophase	有丝分裂末期
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	S-腺苷-L-甲硫氨酸跨膜转运体活性
GO:0000096	sulfur amino acid metabolic process	含硫氨基酸代谢过程
GO:0000097	sulfur amino acid biosynthetic process	含硫氨基酸生物合成过程
GO:0000098	sulfur amino acid catabolic process	含硫氨基酸分解代谢过程
GO:0000099	sulfur amino acid transmembrane transporter activity	含硫氨基酸跨膜转运体活性
GO:0000100	S-methylmethionine transmembrane transporter activity	S-甲基甲硫氨酸跨膜转运体活性
GO:0000101	sulfur amino acid transport	含硫氨基酸转运
GO:0000102	L-methionine secondary active transmembrane transporter activity	L-甲硫氨酸次级主动跨膜转运体活性
GO:0000103	sulfate assimilation	硫酸盐同化
GO:0000104	succinate dehydrogenase activity	琥珀酸脱氢酶活性
GO:0000105	L-histidine biosynthetic process	L-组氨酸生物合成过程
GO:0000107	imidazoleglycerol-phosphate synthase activity	咪唑甘油磷酸合酶活性
GO:0000109	nucleotide-excision repair complex	核苷酸切除修复复合体
GO:0000110	nucleotide-excision repair factor 1 complex	核苷酸切除修复因子1复合体
GO:0000111	nucleotide-excision repair factor 2 complex	核苷酸切除修复因子2复合体
GO:0000112	nucleotide-excision repair factor 3 complex	核苷酸切除修复因子3复合体
GO:0000113	nucleotide-excision repair factor 4 complex	核苷酸切除修复因子4复合体
GO:0000118	histone deacetylase complex	组蛋白去乙酰化酶复合体
GO:0000120	RNA polymerase I transcription regulator complex	RNA聚合酶I转录调控复合体
GO:0000121	sn-glycerol 1-phosphatase activity	sn-甘油-1-磷酸酶活性
GO:0000122	negative regulation of transcription by RNA polymerase II	RNA聚合酶II转录的负调控
GO:0000123	histone acetyltransferase complex	组蛋白乙酰转移酶复合体
GO:0000124	SAGA complex	SAGA复合体
GO:0000126	transcription factor TFIIIB complex	转录因子TFIIIB复合体
GO:0000127	transcription factor TFIIIC complex	转录因子TFIIIC复合体
GO:0000128	flocculation	絮凝
GO:0000131	incipient cellular bud site	新生细胞芽位点
GO:0000132	establishment of mitotic spindle orientation	有丝分裂纺锤体定向的建立
GO:0000133	polarisome	极化体
GO:0000136	mannan polymerase complex	甘露聚糖聚合酶复合体
GO:0000137	Golgi cis cisterna	高尔基体顺面潴泡
GO:0000138	Golgi trans cisterna	高尔基体反面潴泡
GO:0000139	Golgi membrane	高尔基体膜
GO:0000140	acylglycerone-phosphate reductase (NADP+) activity	酰基甘油酮磷酸还原酶(NADP+)活性
GO:0000142	cellular bud neck contractile ring	细胞芽颈收缩环
GO:0000144	cellular bud neck septin ring	细胞芽颈隔蛋白环
GO:0000145	exocyst	外泌复合体
GO:0000146	microfilament motor activity	微丝马达活性
GO:0000147	actin cortical patch assembly	肌动蛋白皮层斑块组装
GO:0000148	1,3-beta-D-glucan synthase complex	1,3-β-D-葡聚糖合酶复合体
GO:0000149	SNARE binding	SNARE结合
GO:0000150	DNA strand exchange activity	DNA链交换活性
GO:0000151	ubiquitin ligase complex	泛素连接酶复合体
GO:0000152	nuclear ubiquitin ligase complex	细胞核泛素连接酶复合体
GO:0000153	cytoplasmic ubiquitin ligase complex	细胞质泛素连接酶复合体
GO:0000154	rRNA modification	rRNA修饰
GO:0000155	phosphorelay sensor kinase activity	磷酸转递传感激酶活性
GO:0000156	phosphorelay response regulator activity	磷酸转递响应调节因子活性
GO:0000159	protein phosphatase type 2A complex	蛋白磷酸酶2A型复合体
GO:0000160	phosphorelay signal transduction system	磷酸转递信号转导系统
GO:0000162	L-tryptophan biosynthetic process	L-色氨酸生物合成过程
GO:0000164	protein phosphatase type 1 complex	蛋白磷酸酶1型复合体
GO:0000165	MAPK cascade	MAPK级联
GO:0000166	nucleotide binding	核苷酸结合
GO:0000171	ribonuclease MRP activity	核糖核酸酶MRP活性
