## Tue Sep  1 17:16:42 2026
## emapper-2.1.13
## /opt/venv/bin/emapper.py -i input.fasta -o query --output_dir output --temp_dir output --data_dir /data --cpu 10 --override --itype proteins -m diamond --dmnd_iterate no
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000100.1	3847.GLYMA15G43289.1	1.15e-45	164.0	COG0147@1|root,COG0596@1|root,KOG1223@2759|Eukaryota,KOG2382@2759|Eukaryota,37RRC@33090|Viridiplantae,3GENA@35493|Streptophyta,4JEFI@91835|fabids	35493|Streptophyta	E	Protein PHYLLO, chloroplastic-like	-	GO:0006732,GO:0006766,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0010109,GO:0019222,GO:0031323,GO:0042180,GO:0042181,GO:0042372,GO:0042374,GO:0042548,GO:0042550,GO:0043467,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0050789,GO:0050794,GO:0051186,GO:0051188,GO:0065007,GO:0071704,GO:1901576,GO:1901661,GO:1901663	2.2.1.9,4.2.1.113,4.2.99.20,5.4.4.2	ko:K14759	ko00130,ko01100,ko01110,map00130,map01100,map01110	-	R01717,R04031,R08165,R08166	RC00588,RC01053,RC02148,RC02186,RC02475	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_1,Abhydrolase_6,MR_MLE_C,TPP_enzyme_C,TPP_enzyme_M_2,TPP_enzyme_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000300.1	3847.GLYMA01G00270.1	1.6e-26	110.0	COG0147@1|root,KOG1223@2759|Eukaryota,37RRC@33090|Viridiplantae,3GENA@35493|Streptophyta,4JEFI@91835|fabids	2759|Eukaryota	E	Protein PHYLLO, chloroplastic-like	-	GO:0006732,GO:0006766,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0010109,GO:0019222,GO:0031323,GO:0042180,GO:0042181,GO:0042372,GO:0042374,GO:0042548,GO:0042550,GO:0043467,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0050789,GO:0050794,GO:0051186,GO:0051188,GO:0065007,GO:0071704,GO:1901576,GO:1901661,GO:1901663	2.2.1.9,4.2.1.113,4.2.99.20,5.4.4.2	ko:K02552,ko:K14759	ko00130,ko01053,ko01100,ko01110,ko01130,map00130,map01053,map01100,map01110,map01130	M00116	R01717,R04031,R08165,R08166	RC00588,RC01053,RC02148,RC02186,RC02475	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_1,Abhydrolase_6,Chorismate_bind,MR_MLE_C,TPP_enzyme_C,TPP_enzyme_M_2,TPP_enzyme_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000500.1	3847.GLYMA01G00270.1	3.85e-37	137.0	COG0147@1|root,KOG1223@2759|Eukaryota,37RRC@33090|Viridiplantae,3GENA@35493|Streptophyta,4JEFI@91835|fabids	2759|Eukaryota	E	Protein PHYLLO, chloroplastic-like	-	GO:0006732,GO:0006766,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0010109,GO:0019222,GO:0031323,GO:0042180,GO:0042181,GO:0042372,GO:0042374,GO:0042548,GO:0042550,GO:0043467,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0050789,GO:0050794,GO:0051186,GO:0051188,GO:0065007,GO:0071704,GO:1901576,GO:1901661,GO:1901663	2.2.1.9,4.2.1.113,4.2.99.20,5.4.4.2	ko:K02552,ko:K14759	ko00130,ko01053,ko01100,ko01110,ko01130,map00130,map01053,map01100,map01110,map01130	M00116	R01717,R04031,R08165,R08166	RC00588,RC01053,RC02148,RC02186,RC02475	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_1,Abhydrolase_6,Chorismate_bind,MR_MLE_C,TPP_enzyme_C,TPP_enzyme_M_2,TPP_enzyme_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000600.1	3847.GLYMA01G00291.1	6.67e-120	342.0	COG0147@1|root,KOG1223@2759|Eukaryota	2759|Eukaryota	EH	anthranilate synthase activity	-	-	2.2.1.9,4.2.1.113,4.2.99.20,5.4.4.2	ko:K02552,ko:K14759	ko00130,ko01053,ko01100,ko01110,ko01130,map00130,map01053,map01100,map01110,map01130	M00116	R01717,R04031,R08165,R08166	RC00588,RC01053,RC02148,RC02186,RC02475	ko00000,ko00001,ko00002,ko01000	-	-	-	Abhydrolase_6,Chorismate_bind,MR_MLE_C,TPP_enzyme_C,TPP_enzyme_M_2,TPP_enzyme_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000800.1	3847.GLYMA01G00300.1	0.0	1098.0	28ISY@1|root,2QR48@2759|Eukaryota,37Q5Q@33090|Viridiplantae,3GFPY@35493|Streptophyta,4JJY2@91835|fabids	35493|Streptophyta	S	protein FAR1-RELATED SEQUENCE	-	-	-	-	-	-	-	-	-	-	-	-	MULE,SWIM
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G000900.1	3847.GLYMA17G28555.1	0.0	1880.0	COG0507@1|root,KOG0987@2759|Eukaryota,37Q72@33090|Viridiplantae,3GCCF@35493|Streptophyta,4JS2N@91835|fabids	35493|Streptophyta	D	Belongs to the helicase family	-	-	3.6.4.12	ko:K15255	-	-	-	-	ko00000,ko01000,ko03029,ko03032	-	-	-	Helitron_like_N,Herpes_Helicase,PIF1
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001000.1	3847.GLYMA01G00321.2	0.0	1451.0	2CMNZ@1|root,2QR4C@2759|Eukaryota,37R7C@33090|Viridiplantae,3GEJS@35493|Streptophyta,4JFXG@91835|fabids	35493|Streptophyta	S	Protein FAR1-RELATED SEQUENCE 5-like	-	-	-	-	-	-	-	-	-	-	-	-	FAR1,MULE,SWIM
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001000.2	3847.GLYMA01G00321.2	0.0	1558.0	2CMNZ@1|root,2QR4C@2759|Eukaryota,37R7C@33090|Viridiplantae,3GEJS@35493|Streptophyta,4JFXG@91835|fabids	35493|Streptophyta	S	Protein FAR1-RELATED SEQUENCE 5-like	-	-	-	-	-	-	-	-	-	-	-	-	FAR1,MULE,SWIM
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001100.1	3847.GLYMA08G47480.4	0.0	1811.0	28I8K@1|root,2QQIX@2759|Eukaryota,37HNV@33090|Viridiplantae,3G84M@35493|Streptophyta,4JFI9@91835|fabids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001200.1	3847.GLYMA01G00400.5	5.96e-146	411.0	COG5580@1|root,KOG2936@2759|Eukaryota,37HEP@33090|Viridiplantae,3GAJI@35493|Streptophyta,4JJVZ@91835|fabids	35493|Streptophyta	O	Activator of Hsp90 ATPase, N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	Aha1_N
glyma.Wm82_NJAU.gnm1.ann1.GmW82.01G001300.1	3847.GLYMA01G00410.3	6.23e-303	827.0	28IB5@1|root,2QR9Y@2759|Eukaryota,37M3Q@33090|Viridiplantae,3G85U@35493|Streptophyta,4JEWI@91835|fabids	35493|Streptophyta	U	Chloroplast envelope membrane	-	-	-	-	-	-	-	-	-	-	-	-	CemA
